project_name,district,kind,source_layer,raw_developer,developer_family,developer_mapping_confidence,contracting_entity_status,notes
Botanica Foresta,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Forestique,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Prestige,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica MontAzure,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row; project name contains MontAzure but raw developer is Botanica in generator."
Botanica Sky Valley,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Botanica Wisdom,Чернг Талай,villa,market,Botanica Luxury Phuket,Botanica Luxury Villas / AAP,high,needs_project_confirmation,"EXTRA_EN row."
Rhea by Sansiri,Сурин,condo,market,Sansiri,Sansiri PCL,high,needs_project_confirmation,"EXTRA_EN row."
So Origin Lagoon,Чернг Талай,condo,market,Origin PCL,Origin Property PCL,high,needs_project_confirmation,"EXTRA_EN row."
Origin Residences Bangtao,Банг Тао,condo,market,Origin PCL,Origin Property PCL,high,needs_project_confirmation,"EXTRA_EN row."
SO Origin Kata,Ката · Карон,condo,market,Origin PCL,Origin Property PCL,high,needs_project_confirmation,"EXTRA_EN row."
The Base Cherngtalay,Чернг Талай,condo,market,Sansiri,Sansiri PCL,high,needs_project_confirmation,"EXTRA_EN row."
The Base Rise,Патонг,condo,market,Sansiri,Sansiri PCL,high,needs_project_confirmation,"EXTRA_EN row."
Laguna Bayside,Чернг Талай,condo,market,Banyan Group Residences,Banyan / Laguna residences,high,needs_project_entity_resolution,"EXTRA_EN row; exact seller entity must be resolved."
Laguna Lakeside,Банг Тао,condo,market,Laguna Property,Banyan / Laguna residences,high,needs_project_entity_resolution,"EXTRA_EN row; operational developer alias."
Cassia Phuket,Банг Тао,condo,market,Banyan Group,Banyan / Laguna residences,high,needs_project_entity_resolution,"EXTRA_EN row; brand/operator vs seller must be separated."
Angsana Oceanview Residences,Банг Тао,condo,market,Banyan Group / Laguna,Banyan / Laguna residences,high,needs_project_entity_resolution,"EXTRA_EN row; exact seller entity required."
Banyan Tree Beach Residences Oceanus,Банг Тао,condo,market,Laguna Property,Banyan / Laguna residences,high,needs_project_entity_resolution,"EXTRA_EN row; exact seller entity required."
Andamanda Phuket,Май Кхао,condo,market,Andamanda,Andamanda,medium,needs_entity_resolution,"EXTRA_EN row; group/legal seller requires primary-source verification."
The Zero Bang Tao,Банг Тао,condo,market,The Zero,The Zero Phuket / Zero Developments,high,needs_project_confirmation,"EXTRA_EN row."
The Zero Nai Yang,Най Янг,condo,market,The Zero,The Zero Phuket / Zero Developments,high,needs_project_confirmation,"EXTRA_EN row."
Silhouette by The Zero,Най Янг,condo,market,The Zero,The Zero Phuket / Zero Developments,high,needs_project_confirmation,"EXTRA_EN row."
