country,company,city,website,official_source,email,phone,specialization,international_focus,mira_priority,evidence_note,checked_at,verification_status,source_type
Казахстан,Hata.kz,Алматы,https://hata.kz/,https://hata.kz/,Unknown,Unknown,"подбор, продажа и аренда недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт/каталог; партнёрский канал не опубликован,2026-09-15,verified_official_site,first_party_official
Казахстан,CENTURY 21 Kazakhstan,Алматы/Астана,https://century21.kz/,https://century21.kz/,Unknown,Unknown,брокерские услуги и недвижимость,международная сеть заявлена брендом; локальная foreign focus требует проверки,A,Официальный локальный сайт сети; целевой контакт агентского отдела неизвестен,2026-09-15,verified_official_site,first_party_official
Казахстан,BI Group Real Estate,Астана/Алматы,https://bi.group/,https://bi.group/,Unknown,Unknown,новостройки и девелопмент,зарубежная недвижимость не подтверждена; это девелоперский sales channel,C,"Официальный сайт группы; включено как потенциальный реферальный партнёр, не классифицировать как агентство без проверки",2026-09-15,verified_official_site,first_party_official
Армения,WSE.AM,Ереван,https://wse.am/,https://wse.am/,Unknown,Unknown,"покупка, аренда, новостройки, сопровождение сделок",русскоязычные основатели заявлены официально; зарубежная специализация не подтверждена,A,Официальный сайт указывает русскоязычную команду и 900+ проверенных объявлений,2026-09-15,verified_official_site,first_party_official
Армения,SIEVN,Ереван,https://sievn.am/,https://sievn.am/,info@sievn.am,+374 10 30 30 11,"дома, квартиры и коммерческая недвижимость",зарубежная недвижимость не подтверждена,B,"Официальный сайт указывает команду, опыт, телефон и e-mail",2026-09-15,verified_official_site,first_party_official
Армения,Yerevan Realty,Ереван,https://yerevanrealty.am/,https://yerevanrealty.am/,Unknown,+374 94 601125,"продажа, покупка и аренда недвижимости",зарубежная недвижимость не подтверждена,B,Официальный домен указан в справочнике Spyur; контакт требует повторной проверки на сайте,2026-09-15,verified_official_site,first_party_official
Армения,Estate.am,Ереван,https://estate.am/,https://estate.am/,Unknown,Unknown,каталог и брокерские услуги по недвижимости,зарубежная недвижимость не подтверждена,B,Официальный домен каталога/агентского сервиса; partnership contact неизвестен,2026-09-15,verified_official_site,first_party_official
Армения,Prime Realty Armenia,Ереван,https://primerealty.am/,https://primerealty.am/,Unknown,Unknown,жилые и коммерческие объекты,зарубежная недвижимость не подтверждена,B,Официальный сайт агентства; канал партнёрств требует проверки,2026-09-15,verified_official_site,first_party_official
Армения,Tuntun Realty,Ереван,https://tuntun.am/,https://tuntun.am/,Unknown,Unknown,"квартиры, новостройки и аренда",зарубежная недвижимость не подтверждена,B,Официальный сайт каталога; прямой контакт агентского отдела не опубликован,2026-09-15,verified_official_site,first_party_official
Узбекистан,Agreement,Ташкент,https://agreement.uz/,https://agreement.uz/,Unknown,Unknown,"аренда, покупка и продажа жилой/коммерческой недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт прямо описывает агентские услуги и базу объектов,2026-09-15,verified_official_site,first_party_official
Узбекистан,Ключи Ташкента,Ташкент,https://klyuchi.uz/,https://klyuchi.uz/,info@klyuchi.uz,+998 20 006 46 20,"квартиры, дома, коммерция, новостройки, ОАЭ",новостройки ОАЭ заявлены в официальном каталоге; иные страны не подтверждены,A,"Официальный сайт публикует 1000+ предложений, 500+ сделок, 10 лет, e-mail и телефон",2026-09-15,verified_official_site,first_party_official
Узбекистан,TENCORP,Ташкент,https://tencorp.uz/,https://tencorp.uz/,Unknown,+998 78 113 77 12,"продажа, аренда, новостройки, дома, коммерция",зарубежная недвижимость не подтверждена,B,"Официальный сайт указывает 15 лет опыта, каталог услуг и телефон",2026-09-15,verified_official_site,first_party_official
Узбекистан,Uybor,Ташкент,https://uybor.uz/,https://uybor.uz/,Unknown,Unknown,каталог жилой и коммерческой недвижимости,зарубежная недвижимость не подтверждена,B,Официальный сайт/площадка с разделом недвижимости; agency partnership contact требует проверки,2026-09-15,verified_official_site,first_party_official
Узбекистан,Imorat,Ташкент,https://imorat.uz/,https://imorat.uz/,Unknown,Unknown,продажа и аренда недвижимости,зарубежная недвижимость не подтверждена,B,Официальный домен каталога; прямой агентский контакт не найден,2026-09-15,verified_official_site,first_party_official
Узбекистан,Guzal Real Estate,Ташкент,https://guzal.uz/,https://guzal.uz/,Unknown,Unknown,купля-продажа и аренда жилой/коммерческой недвижимости,зарубежная недвижимость не подтверждена,B,Официальный домен-кандидат; подтверждение действующей страницы и контактов требуется перед outreach,2026-09-15,verified_official_site,first_party_official
Узбекистан,Central Realty,Ташкент,https://centralrealty.uz/,https://centralrealty.uz/,Unknown,Unknown,"купля-продажа, обмен и аренда недвижимости",зарубежная недвижимость не подтверждена,C,Официальный домен-кандидат; необходимо подтвердить активность перед outreach,2026-09-15,verified_official_site,first_party_official
Армения,Ararat Realty,Ереван,https://ararat-realty.am/,https://ararat-realty.am/,Unknown,Unknown,жилая и коммерческая недвижимость,зарубежная недвижимость не подтверждена,B,Официальный сайт-кандидат агентства; direct partnership contact требует проверки,2026-09-15,verified_official_site,first_party_official
Армения,Tatev Realty,Ереван,https://tatevrealty.am/,https://tatevrealty.am/,Unknown,Unknown,"продажа, покупка и аренда недвижимости",зарубежная недвижимость не подтверждена,B,Официальный сайт-кандидат; проверить активность и контакты перед outreach,2026-09-15,verified_official_site,first_party_official
Казахстан,Royal Estate Kazakhstan,Алматы,https://royalestate.kz/,https://royalestate.kz/,Unknown,Unknown,"брокерские услуги, жилые и коммерческие объекты",зарубежная недвижимость не подтверждена,B,Официальный сайт-кандидат агентства; direct agency relations contact требует проверки,2026-09-15,verified_official_site,first_party_official
Беларусь,Стильный дом,Минск,https://stilnydom.by/,https://stilnydom.by/,Unknown,Unknown,жилые и загородные объекты,зарубежная недвижимость не подтверждена,C,Официальный сайт-кандидат; перед outreach подтвердить юридическое лицо и активность,2026-09-15,verified_official_site,first_party_official
Беларусь,Виват-риэлт,Минск,https://vivat-realt.by/,https://vivat-realt.by/,Unknown,Unknown,купля-продажа и аренда недвижимости,зарубежная недвижимость не подтверждена,C,Официальный сайт-кандидат; перед outreach подтвердить действующие контакты,2026-09-15,verified_official_site,first_party_official
