rank,developer,legal_name,location_scope,official_website,official_partner_or_sales_url,route_class,named_contact,sales_or_partner_email,sales_or_partner_phone,messaging_or_social_route,agency_program_evidence,public_commission_evidence,lead_protection_evidence,payment_evidence,contact_status,source_url,evidence_note,checked_at,next_action
14,Sunny Holding,Sunny Holding,Phuket / Greater Phuket as stated on source,https://sunnyholding.com/development/,https://sunnyholding.com/development/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://sunnyholding.com/development/,official development page and contact route; partner contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
15,Phuket9,Phuket9,Phuket / Greater Phuket as stated on source,https://phuket9.com/,https://phuket9.com/,sales_email_phone,unknown,sales@phuket9.com,+66 98 674 7096,unknown,unknown,unknown,unknown,unknown,direct sales route; agency owner not published,https://phuket9.com/,Official Phuket9 domain publishes sales email and phone in inherited pilot record; recheck current agency terms before outreach.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
16,Aquella,Aquella / PCPD,Greater Phuket / Phang Nga (boundary-market candidate),https://aquella.com/,https://aquella.com/,villa_sales_email_phones,unknown,sales@aquella.com,+66 2 150 0575; +852 5804 9780,unknown,unknown,unknown,unknown,unknown,direct villa sales route; agency owner not published,https://aquella.com/,"Official Aquella site labels Villa Enquiries, publishes sales@aquella.com and two phone numbers, and states location in Thai Muang District, Phang Nga; classify as Greater Phuket boundary-market candidate.",2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
17,Laguna Phuket / Laguna Residences,Laguna Phuket,Phuket / Greater Phuket as stated on source,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,residence_sales_email_phone,unknown,SILK@lagunaphuket.com,+66 76 304 504,unknown,unknown,unknown,unknown,unknown,residence sales route; agency owner not published,https://www.lagunaphuket.com/contact-us/,Official Laguna contact page publishes SILK@lagunaphuket.com and +66 76 304 504; request appointed-agent owner.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
18,Fivewood Estate / Annara Residences,"Fivewood Estate Co., Ltd.",Phuket / Greater Phuket as stated on source,https://www.annaragroup.com/,https://www.annaragroup.com/,generic_official_route,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.annaragroup.com/,official project page identifies developer and contact route; agency contact unavailable,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
19,Wallaya Villas,Wallaya Villas,Phuket / Greater Phuket as stated on source,https://www.wallayavillas.com/,https://www.wallayavillas.com/privacy-policy/,official_policy_agent_terms,unknown,unknown,unknown,unknown,Official privacy/policy source in inherited record contains agent/lead-protection language; exact current contact and terms require confirmation.,unknown,unknown,unknown,official agent terms evidence; direct contact route not exposed,https://www.wallayavillas.com/privacy-policy/,Inherited official policy source retained; do not infer commission or active inventory.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
20,Supalai,Supalai PCL,Phuket / Greater Phuket as stated on source,https://www.supalai.com/,https://www.supalai.com/,agent_registration_route,unknown,unknown,unknown,unknown,Official agent-registration pathway references Phuket/Koh Samui in inherited record.,unknown,unknown,unknown,agent registration route; direct owner not published,https://www.supalai.com/en/project/house/prime-villa-samui,Inherited official route retained; current Phuket projects and channel owner require confirmation.,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
21,Layan Green Park,Layan Green Park Co Ltd,Phuket / Greater Phuket as stated on source,https://layan.greenparkphuket.com/,https://layan.greenparkphuket.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://layan.greenparkphuket.com/,Official project site/contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
22,Layan Verde,Layan Verde,Phuket / Greater Phuket as stated on source,https://layanverde.com/,https://layanverde.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://layanverde.com/,Official project site/contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
23,Trichada Villas,Trichada Co Ltd,Phuket / Greater Phuket as stated on source,https://trichada.com/,https://trichada.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://trichada.com/,Official Phuket villa site/contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
24,Habitat Group,Habitat Group Co Ltd,Phuket / Greater Phuket as stated on source,https://www.habitatgroup.co.th/,https://www.habitatgroup.co.th/,generic_official,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.habitatgroup.co.th/,Official developer site/contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
25,Arthouse Group,Arthouse Group,Phuket / Greater Phuket as stated on source,https://arthousegroup.com/,https://arthousegroup.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://arthousegroup.com/,Official Phuket developer contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
26,VIP Thailand Group,VIP Thailand Group,Phuket / Greater Phuket as stated on source,https://vipthailandgroup.com/,https://vipthailandgroup.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://vipthailandgroup.com/,Official project/developer contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
27,Andaman Riviera,Andaman Riviera,Phuket / Greater Phuket as stated on source,https://andamanriviera.com/,https://andamanriviera.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://andamanriviera.com/,Official Phuket project contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
28,The Residence Prime,The Residence Prime,Phuket / Greater Phuket as stated on source,https://theresidenceprime.com/,https://theresidenceprime.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://theresidenceprime.com/,Official project contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
29,The Niche Estates,The Niche Estates,Phuket / Greater Phuket as stated on source,https://thenicheestates.com/,https://thenicheestates.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thenicheestates.com/,Official estate contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
30,Eden Development Phuket,Eden Development Phuket,Phuket / Greater Phuket as stated on source,https://edenphuket.com/,https://edenphuket.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://edenphuket.com/,Official development contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
31,7th Heaven Phuket,7th Heaven Phuket,Phuket / Greater Phuket as stated on source,https://7thheavenphuket.com/,https://7thheavenphuket.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://7thheavenphuket.com/,Official project contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
32,Royal Phuket Marina,Royal Phuket Marina,Phuket / Greater Phuket as stated on source,https://www.royalphuketmarina.com/,https://www.royalphuketmarina.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.royalphuketmarina.com/,Official marina/residential contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
33,MontAzure,MontAzure,Phuket / Greater Phuket as stated on source,https://www.montazure.com/,https://www.montazure.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.montazure.com/,Official Kamala development contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
34,Marriott Residences Phuket,Marriott Residences Phuket,Phuket / Greater Phuket as stated on source,https://www.marriottresidencesphuket.com/,https://www.marriottresidencesphuket.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.marriottresidencesphuket.com/,Official branded residence contact route; developer role to map,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
35,Rosewood Phuket Residences,Rosewood Phuket,Phuket / Greater Phuket as stated on source,https://www.rosewoodhotels.com/en/phuket,https://www.rosewoodhotels.com/en/phuket,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.rosewoodhotels.com/en/phuket,Official brand/residence route; operator not assumed developer,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
36,Cassia Phuket Residences,Cassia Phuket / Banyan Group,Phuket / Greater Phuket as stated on source,https://www.cassiaresidences.com/,https://www.cassiaresidences.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.cassiaresidences.com/,Official branded residence contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
37,The Palm Residences Phuket,The Palm Residences,Phuket / Greater Phuket as stated on source,https://thepalmresidences.com/,https://thepalmresidences.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thepalmresidences.com/,Official residence contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
38,Chalong Miracle Lakeview,Chalong Miracle Lakeview,Phuket / Greater Phuket as stated on source,https://chalongmiracle.com/,https://chalongmiracle.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://chalongmiracle.com/,Official project contact route,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
39,The Title Heritage,Rhom Bho / THE TITLE,Phuket / Greater Phuket as stated on source,https://thetitleresidence.com/,https://thetitleresidence.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thetitleresidence.com/,Official project site; project-level record under existing developer,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
40,The Title Legendary,Rhom Bho / THE TITLE,Phuket / Greater Phuket as stated on source,https://thetitleresidence.com/,https://thetitleresidence.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thetitleresidence.com/,Official project site; project-level record under existing developer,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
41,The Title Serenity,Rhom Bho / THE TITLE,Phuket / Greater Phuket as stated on source,https://thetitleresidence.com/,https://thetitleresidence.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thetitleresidence.com/,Official project site; project-level record under existing developer,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
42,Origin Residences Bangtao,Origin Property PCL,Phuket / Greater Phuket as stated on source,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,agent_club,unknown,unknown,1498,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://origin.co.th/en/origin-agent-club,Official Origin Agent Club route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
43,SO Origin Bangtao Beach,Origin Property PCL,Phuket / Greater Phuket as stated on source,https://origin.co.th/,https://origin.co.th/en/origin-agent-club,agent_club,unknown,unknown,1498,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://origin.co.th/en/origin-agent-club,Official Origin Agent Club route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
44,The Base Cherngtalay,Sansiri PCL,Phuket / Greater Phuket as stated on source,https://sansiri.com/location/phuket-en/,https://www.sansiri.com/agent-recruitment/en/,agent_registration,unknown,internationalbuyers@sansiri.com,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.sansiri.com/agent-recruitment/en/,Official Sansiri overseas-agent route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
45,Setthasiri Kohkaew Retreat,Sansiri PCL,Phuket / Greater Phuket as stated on source,https://sansiri.com/location/phuket-en/,https://www.sansiri.com/agent-recruitment/en/,agent_registration,unknown,internationalbuyers@sansiri.com,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.sansiri.com/agent-recruitment/en/,Official Sansiri overseas-agent route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
46,Botanica Foresta,AAP Architecture Properties & Development,Phuket / Greater Phuket as stated on source,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,agent_club,unknown,info@botanicaluxuryvilla.com,+66 9 8394 7097,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.botanicaluxuryvilla.com/agent_club/,Official Botanica Agent Club route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
47,Botanica Hythe,AAP Architecture Properties & Development,Phuket / Greater Phuket as stated on source,https://www.botanicaluxuryvilla.com/,https://www.botanicaluxuryvilla.com/agent_club/,agent_club,unknown,info@botanicaluxuryvilla.com,+66 9 8394 7097,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.botanicaluxuryvilla.com/agent_club/,Official Botanica Agent Club route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
48,Laguna Lakeside,Laguna Phuket,Phuket / Greater Phuket as stated on source,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,generic_sales,unknown,SILK@lagunaphuket.com,+66 76 304 504,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.lagunaphuket.com/contact-us/,Official Laguna residence contact; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
49,Laguna Golf Residences Hibiscus,Laguna Phuket,Phuket / Greater Phuket as stated on source,https://www.lagunaphuket.com/,https://www.lagunaphuket.com/contact-us/,generic_sales,unknown,SILK@lagunaphuket.com,+66 76 304 504,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.lagunaphuket.com/contact-us/,Official Laguna residence contact; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
50,The Ozone Residences,The Ozone Group Phuket,Phuket / Greater Phuket as stated on source,https://ozonephuket.com/,https://ozonephuket.com/,generic_sales,unknown,sales@theozonegroupphuket.com,+66 62 426 4197,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://ozonephuket.com/,Official Ozone sales route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
51,The Ozone Kingdom,The Ozone Group Phuket,Phuket / Greater Phuket as stated on source,https://ozonephuket.com/,https://ozonephuket.com/,generic_sales,unknown,sales@theozonegroupphuket.com,+66 62 426 4197,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://ozonephuket.com/,Official Ozone sales route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
52,Anchan Lagoon Villas,Pearl Island Property Co Ltd,Phuket / Greater Phuket as stated on source,https://anchanvillas.com/,https://anchanvillas.com/,generic_sales,unknown,info@anchanvillas.com,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://anchanvillas.com/,Official Anchan sales route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
53,Utopia Thalang,Utopia Corporation,Phuket / Greater Phuket as stated on source,https://utopia.co.th/,https://utopia.co.th/,generic_official,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://utopia.co.th/,Official Utopia contact route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
54,The Zero Bang Tao,Zero Developments Co Ltd,Phuket / Greater Phuket as stated on source,https://thezerophuket.com/,https://thezerophuket.com/,generic_official,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thezerophuket.com/,Official The Zero contact route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
55,The Zero Nai Yang,Zero Developments Co Ltd,Phuket / Greater Phuket as stated on source,https://thezerophuket.com/,https://thezerophuket.com/,generic_official,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://thezerophuket.com/,Official The Zero contact route; project-level record,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
56,Anantara Layan Residences,Minor International PCL,Phuket / Greater Phuket as stated on source,https://www.anantara.com/en/layan-phuket,https://www.anantara.com/en/layan-phuket/contact,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.anantara.com/en/layan-phuket,Official branded residence/hospitality route; developer role to confirm,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
57,Avadina Hills by Anantara,Minor International PCL,Phuket / Greater Phuket as stated on source,https://www.anantara.com/en/avadina-hills-phuket,https://www.anantara.com/en/avadina-hills-phuket/contact,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.anantara.com/en/avadina-hills-phuket,Official branded residence route; operator not assumed developer,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
58,The Standard Residences Phuket,The Standard / project entity unknown,Phuket / Greater Phuket as stated on source,https://www.standardhotels.com/phuket,https://www.standardhotels.com/phuket,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.standardhotels.com/phuket,Official brand route; developer role to confirm,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
59,The Naka Island Residences,Marriott / project entity unknown,Phuket / Greater Phuket as stated on source,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/contact/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.marriott.com/en-us/hotels/hktni-the-naka-island-a-luxury-collection-resort-and-spa-phuket/,Official hospitality route; residence/developer status to confirm,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
60,The Phuket Yacht Club Residences,The Phuket Yacht Club / entity unknown,Phuket / Greater Phuket as stated on source,https://www.thephuketyachtclub.com/,https://www.thephuketyachtclub.com/,generic_sales,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,official route found; named agency owner not published,https://www.thephuketyachtclub.com/,Official project website/contact route; legal developer to confirm,2026-09-15,"Request named international sales / agency-relations owner, current project list, lead registration, lead protection, commission schedule and payout timing."
