developer_brand,legal_name,entity_type,website,sales_email,sales_phone,partner_contact,projects,districts,price_band,foreign_buyer_focus,published_agent_commission,commission_source,direct_agreement_status,existing_wegc_relation,priority,notes,source_urls,last_verified,source_type,official_site_status
Ornsirin Public Company Limited,unknown,candidate / requires verification,,,,unknown,Arise Vibe Phuket,Si Sunthon,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"Kata Heights Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Ashiyana Heights Karon,Karon,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"2 Thanwa Property Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Amber Chamber,Si Sunthon,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"Green Atlas Innovations Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Evergreen Condominium Phuket,Cherng Talay,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Sala Hospitality Group,unknown,candidate / requires verification,,,,unknown,Surfhouse Residences,Cherng Talay,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"Modern 79 Co., Ltd. / Mouana Phuket",unknown,candidate / requires verification,,,,unknown,Mouana Serenity,Cherng Talay,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
"T.H. Group Phuket Co., Ltd.",unknown,candidate / requires verification,,,,unknown,Ayana Heights Seaview Residence,Phuket (district unknown),unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
VIP Thailand Group,unknown,candidate / requires verification,,,,unknown,VIP Tropika Phase 2; VIP Great Hill; VIP Space Odyssey,Phuket (district unknown),unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Laguna Property,unknown,candidate / requires verification,,,,unknown,Laguna Lakeside; Laguna Golf Residences Hibiscus; Beach Residences Oceanus/Varuna,Bang Tao / Laguna,unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Mida Grande Resort,unknown,candidate / requires verification,,,,unknown,Mida Grande Resort Phuket (legal entity unknown),Phuket (district unknown),unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
Unique Development,unknown,candidate / requires verification,,,,unknown,Unique (legal entity unknown),Phuket (district unknown),unknown,unknown,unknown,unknown,unknown,unknown,C,"Secondary discovery only. Do not treat as verified developer or send outreach until official website, legal entity and current project are independently confirmed",https://propertyscout.co.th/en/project/phuket/; https://houseviser.com/developers; https://thailand-real.estate/,2026-09-15,secondary_discovery,candidate
