developer_brand,legal_name,entity_type,country,market,website,official_contact_url,sales_email,sales_phone,partner_contact,projects_or_scope,agency_program,published_agent_commission,lead_registration,broker_portal,payment_plans,priority,contact_status,source_urls,last_verified,notes
The Mulia Bali,unknown,developer,Indonesia,Bali,https://www.themulia.com/bali,https://www.themulia.com/bali,unknown,unknown,unknown,Mulia Bali resort and branded residence/real-estate contact route,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.themulia.com/bali; https://www.themulia.com/bali,2026-09-15,Official website located; agency terms require direct confirmation.
Bvlgari Resort Bali,unknown,developer,Indonesia,Bali,https://www.bulgarihotels.com/en_US/bali,https://www.bulgarihotels.com/en_US/bali,unknown,unknown,unknown,Bali luxury hospitality / residence opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.bulgarihotels.com/en_US/bali; https://www.bulgarihotels.com/en_US/bali,2026-09-15,Official website located; agency terms require direct confirmation.
Six Senses Uluwatu,unknown,developer,Indonesia,Bali,https://www.sixsenses.com/en/resorts/uluwatu-bali,https://www.sixsenses.com/en/resorts/uluwatu-bali,unknown,unknown,unknown,Uluwatu resort and residences opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.sixsenses.com/en/resorts/uluwatu-bali; https://www.sixsenses.com/en/resorts/uluwatu-bali,2026-09-15,Official website located; agency terms require direct confirmation.
Raffles Bali,unknown,developer,Indonesia,Bali,https://www.raffles.com/bali/,https://www.raffles.com/bali/,unknown,unknown,unknown,Bali luxury resort / branded residence opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.raffles.com/bali/; https://www.raffles.com/bali/,2026-09-15,Official website located; agency terms require direct confirmation.
Mandarin Oriental Bali,unknown,developer,Indonesia,Bali,https://www.mandarinoriental.com/en/nusa-dua,https://www.mandarinoriental.com/en/nusa-dua,unknown,unknown,unknown,Nusa Dua resort and residence opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.mandarinoriental.com/en/nusa-dua; https://www.mandarinoriental.com/en/nusa-dua,2026-09-15,Official website located; agency terms require direct confirmation.
The Apurva Kempinski Bali,unknown,developer,Indonesia,Bali,https://www.kempinski.com/en/the-apurva-kempinski-bali,https://www.kempinski.com/en/the-apurva-kempinski-bali,unknown,unknown,unknown,Nusa Dua hospitality / residence opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.kempinski.com/en/the-apurva-kempinski-bali; https://www.kempinski.com/en/the-apurva-kempinski-bali,2026-09-15,Official website located; agency terms require direct confirmation.
The Westin Resort Nusa Dua,unknown,developer,Indonesia,Bali,https://www.marriott.com/en-us/hotels/dpswi-the-westin-resort-nusa-dua-bali/overview/,https://www.marriott.com/en-us/hotels/dpswi-the-westin-resort-nusa-dua-bali/overview/,unknown,unknown,unknown,Nusa Dua hospitality / residence opportunity to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.marriott.com/en-us/hotels/dpswi-the-westin-resort-nusa-dua-bali/overview/; https://www.marriott.com/en-us/hotels/dpswi-the-westin-resort-nusa-dua-bali/overview/,2026-09-15,Official website located; agency terms require direct confirmation.
Bali Tourism Development Corporation,unknown,developer,Indonesia,Bali,https://www.itdc.co.id/,https://www.itdc.co.id/,unknown,unknown,unknown,Nusa Dua tourism infrastructure and developer introductions,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.itdc.co.id/; https://www.itdc.co.id/,2026-09-15,Official website located; agency terms require direct confirmation.
Tanah Lot Bali,unknown,developer,Indonesia,Bali,https://www.tanahlotbali.com/,https://www.tanahlotbali.com/,unknown,unknown,unknown,Bali tourism development/asset operator; investment inventory to verify,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.tanahlotbali.com/; https://www.tanahlotbali.com/,2026-09-15,Official website located; agency terms require direct confirmation.
Bali Property Partners / Expatriate Indonesia,unknown,developer,Indonesia,Bali,https://www.expatindonesia.com/,https://www.expatindonesia.com/,unknown,unknown,unknown,Property marketplace/operator route; classify and verify legal developer,unknown,unknown,unknown,unknown,unknown,A,official website/contact route; partnership contact not publicly identified,https://www.expatindonesia.com/; https://www.expatindonesia.com/,2026-09-15,Official website located; agency terms require direct confirmation.
