developer_id,developer_group,legal_name,parent_group,entity_type,location_scope,official_website,partner_or_sales_route,route_class,named_contact,email,phone,priority,status,source_url,checked_at,notes
PHK-017,Aquella,Aquella / PCPD,,developer_or_boundary_market_project,Phang Nga / Greater Phuket,https://aquella.com/,https://aquella.com/,villa_sales_route,unknown,sales@aquella.com,+66 2 150 0575; +852 5804 9780,P1,boundary_market_candidate,https://aquella.com/,2026-09-15,"Not Phuket proper; keep as Greater Phuket/Phang Nga candidate, not in strict Phuket count."
PHK-018,Fivewood Estate / Annara Residences,"Fivewood Estate Co., Ltd.",,developer,Phuket,https://www.annaragroup.com/,https://www.annaragroup.com/,generic_official_route,unknown,unknown,unknown,P2,candidate,https://www.annaragroup.com/,2026-09-15,"Developer identified; agency contact pending."
PHK-019,Wallaya Villas,Wallaya Villas,,developer,Phuket,https://www.wallayavillas.com/,https://www.wallayavillas.com/privacy-policy/,agent_terms_signal,unknown,unknown,unknown,P1,actionable_needs_direct_contact,https://www.wallayavillas.com/privacy-policy/,2026-09-15,"Official policy contains agent/lead language; current contact and commercial terms need confirmation."
PHK-020,Supalai,Supalai PCL,,developer,Phuket,https://www.supalai.com/,https://www.supalai.com/,agent_registration_signal,unknown,unknown,unknown,P1,actionable_needs_current_phuket_inventory,https://www.supalai.com/,2026-09-15,"Agent-registration signal retained; current Phuket inventory/channel owner needs confirmation."
PHK-021,Layan Green Park,Layan Green Park Co Ltd,,developer_or_project_entity,Phuket,https://layan.greenparkphuket.com/,https://layan.greenparkphuket.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://layan.greenparkphuket.com/,2026-09-15,"Need legal entity/agency route confirmation."
PHK-022,Layan Verde,Layan Verde,,developer_or_project_entity,Phuket,https://layanverde.com/,https://layanverde.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://layanverde.com/,2026-09-15,"Need legal entity/agency route confirmation."
PHK-023,Trichada Villas,Trichada Co Ltd,,developer,Phuket,https://trichada.com/,https://trichada.com/,generic_sales,unknown,unknown,unknown,P1,actionable_needs_partner_route,https://trichada.com/,2026-09-15,"Collapse Trichada Breeze/Sky/Tropical/Essence project rows under this developer family after current-inventory check."
PHK-024,Habitat Group,Habitat Group Co Ltd,,developer,Phuket,https://www.habitatgroup.co.th/,https://www.habitatgroup.co.th/,generic_official_route,unknown,unknown,unknown,P1,actionable_needs_partner_route,https://www.habitatgroup.co.th/,2026-09-15,"Official developer site; broker route pending."
PHK-025,Arthouse Group,Arthouse Group,,developer,Phuket,https://arthousegroup.com/,https://arthousegroup.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://arthousegroup.com/,2026-09-15,"Need entity and broker-route confirmation."
PHK-026,VIP Thailand Group,VIP Thailand Group,,developer_or_sales_group,Phuket,https://vipthailandgroup.com/,https://vipthailandgroup.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://vipthailandgroup.com/,2026-09-15,"Resolve relationship to VIP Property Development and contracting entity before outreach."
PHK-027,Andaman Riviera,Andaman Riviera,,project_or_developer_entity,Phuket,https://andamanriviera.com/,https://andamanriviera.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://andamanriviera.com/,2026-09-15,"Legal developer needs confirmation."
PHK-028,The Residence Prime,The Residence Prime,,project_or_developer_entity,Phuket,https://theresidenceprime.com/,https://theresidenceprime.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://theresidenceprime.com/,2026-09-15,"Legal developer needs confirmation."
PHK-029,The Niche Estates,The Niche Estates,,developer_or_estate_group,Phuket,https://thenicheestates.com/,https://thenicheestates.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://thenicheestates.com/,2026-09-15,"Legal entity and partner route pending."
PHK-030,Eden Development Phuket,Eden Development Phuket,,developer,Phuket,https://edenphuket.com/,https://edenphuket.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://edenphuket.com/,2026-09-15,"Partner route pending."
PHK-031,7th Heaven Phuket,7th Heaven Phuket,,project_or_developer_entity,Phuket,https://7thheavenphuket.com/,https://7thheavenphuket.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://7thheavenphuket.com/,2026-09-15,"Legal developer and active inventory need confirmation."
PHK-032,Royal Phuket Marina,Royal Phuket Marina,,mixed_use_developer_or_operator,Phuket,https://www.royalphuketmarina.com/,https://www.royalphuketmarina.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://www.royalphuketmarina.com/,2026-09-15,"Separate marina/operator role from residential contracting entity before B2B outreach."
PHK-033,MontAzure,MontAzure,,master_development_or_developer_group,Phuket,https://www.montazure.com/,https://www.montazure.com/,generic_sales,unknown,unknown,unknown,P1,actionable_needs_entity_map,https://www.montazure.com/,2026-09-15,"Master-development role; map contracting entities for individual residence components."
PHK-034,The Palm Residences Phuket,The Palm Residences,,project_or_developer_entity,Phuket,https://thepalmresidences.com/,https://thepalmresidences.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://thepalmresidences.com/,2026-09-15,"Legal developer pending."
PHK-035,Chalong Miracle Lakeview,Chalong Miracle Lakeview,,project_or_developer_entity,Phuket,https://chalongmiracle.com/,https://chalongmiracle.com/,generic_sales,unknown,unknown,unknown,P2,candidate,https://chalongmiracle.com/,2026-09-15,"Legal developer and active inventory pending."
PHK-036,Minor International / Anantara Residences,Minor International PCL,Minor International,branded_residence_parent_or_operator,Phuket,https://www.anantara.com/en/layan-phuket,https://www.anantara.com/en/layan-phuket/contact,generic_sales,unknown,unknown,unknown,P2,hold_entity_resolution,https://www.anantara.com/en/layan-phuket,2026-09-15,"Covers Anantara Layan Residences and Avadina Hills rows; do not assume operator is property developer/contracting seller."
PHK-037,Marriott-branded Phuket residences,project entity unknown,Marriott,branded_residence_operator_signal,Phuket,https://www.marriottresidencesphuket.com/,https://www.marriottresidencesphuket.com/,generic_sales,unknown,unknown,unknown,P2,hold_entity_resolution,https://www.marriottresidencesphuket.com/,2026-09-15,"Branded-residence/operator record; identify actual developer/seller before outreach."
PHK-038,Rosewood Phuket Residences,project entity unknown,Rosewood,branded_residence_operator_signal,Phuket,https://www.rosewoodhotels.com/en/phuket,https://www.rosewoodhotels.com/en/phuket,generic_sales,unknown,unknown,unknown,P2,hold_entity_resolution,https://www.rosewoodhotels.com/en/phuket,2026-09-15,"Operator not assumed developer; legal seller must be identified."
PHK-039,The Standard Residences Phuket,project entity unknown,The Standard,branded_residence_operator_signal,Phuket,https://www.standardhotels.com/phuket,https://www.standardhotels.com/phuket,generic_sales,unknown,unknown,unknown,P2,hold_entity_resolution,https://www.standardhotels.com/phuket,2026-09-15,"Brand route only; developer role to confirm."
PHK-040,The Phuket Yacht Club Residences,project entity unknown,,project_or_residence_entity,Phuket,https://www.thephuketyachtclub.com/,https://www.thephuketyachtclub.com/,generic_sales,unknown,unknown,unknown,P2,hold_entity_resolution,https://www.thephuketyachtclub.com/,2026-09-15,"Official project route; legal developer/contracting seller to confirm."
PHK-041,AAG Development / Naturale Cherng Talay,unknown,,developer_group,Phuket,https://www.naturalephuket.com/,https://www.naturalephuket.com/,broker_intake_form_plus_general_contact,unknown,contact@naturalephuket.com,+6680 959 7979; +6685 569 9797,P1,source_verified_group_legal_seller_pending,https://www.naturalephuket.com/,2026-09-18,"Own project page identifies AAG Development. Exact legal entity and agreement unknown; do not assign Naturale Kamala based on name alone."
PHK-042,Unique Group Thailand,unknown,,developer_group,Phuket,https://uniquegroupthailand.com/,https://uniquegroupthailand.com/contact/,generic_sales,Matteo Capellino (founder),info@uniquegroupthailand.com,+66 (0) 94 589 2333,P1,source_verified_group_legal_seller_pending,https://uniquegroupthailand.com/,2026-09-18,"Official group site confirms Aileen Villas Phase 1 and Unique Eco Viva. Exact legal seller and agency-relations owner remain unknown; do not blanket-map other Aileen-labelled projects."
