id,market,name,developerBrand,developerGroup,district,propertyTypes,agencyPublisherCount,agencyCoverageStatus,primarySource,agencySources,imageCandidate,mediaStatus,notes
dubai-orla,dubai,"ORLA, Dorchester Collection",OMNIYAT,OMNIYAT,Palm Jumeirah / West Crescent,apartment; penthouse,1,exact_or_resolved_project_observed,https://orla.omniyat.com/,Whitewill: https://www.bayut.com/property/details-13785800.html,https://orla.omniyat.com/img/carousel-one/2.webp,url_identified_bytes_not_downloaded,"Публикация Whitewill на Bayut — международный канал брокера, а не отдельное русскоязычное агентство."
dubai-mudon-al-ranim,dubai,Mudon Al Ranim,Dubai Properties,Dubai Holding,Mudon,townhouse,1,exact_or_resolved_project_observed,https://www.dp.ae/our-portfolio/all-projects/132/al-ranim/,Metropolitan: https://metropolitan.realestate/mudon/mudon-townhouses/,https://www.dp.ae/pictures/b2ee725d-b875-4c28-95a6-577838c44dfdcamgal1.jpg?metadata=true%26quality%3D70%26width%3D650,url_identified_bytes_not_downloaded,Фаза 7 в публикации брокера не доказывает одинаковые условия всех очередей.
dubai-samana-barari-views,dubai,SAMANA Barari Views,SAMANA Developers,SAMANA Developers,Majan / район Al Barari,studio; apartment,1,exact_or_resolved_project_observed,https://www.samanadevelopers.com/projects/samana-barari-views,FazWaz Group: https://www.fazwaz.ru/проекты/объединённые-арабские-эмираты/дубай/al-barari/al-barari-villas/samana-barari-views,https://www.samanadevelopers.com/storage/projects/gallery/sm/2024/09/06/lg_66dac090672f5.jpg,url_identified_bytes_not_downloaded,Majan / Al Barari в маркетинговой локализации не приравнивается к проверенному кадастровому адресу.
dubai-tiger-sky-tower,dubai,Tiger Sky Tower,Tiger Properties,Tiger Properties,Business Bay,apartment; penthouse,1,exact_or_resolved_project_observed,https://tigerproperties.ae/tigersky-tower-business-bay/,Metropolitan: https://metropolitan.realestate/business-bay/tiger-sky-tower/,,project_gallery_identified_exact_image_pending,"Рекордные характеристики, гарантии доходности и сроки в публичную карточку не перенесены."
dubai-cove-edition-i,dubai,Cove Edition I,Imtiaz Developments,Imtiaz Developments,Dubailand Residence Complex,studio; apartment,1,exact_or_resolved_project_observed,https://imtiaz.ae/property/cove-edition-i-by-imtiaz-1,Bona Domus: https://bonadomus.ae/en/complexes/cove-edition-i,https://imtiaz.ae/uploads/property/exterior_gallery/17/IMTIAZ%20-%20Cove%20Edition_Exterior%201.jpg,url_identified_bytes_not_downloaded,Условия сайта Imtiaz требуют письменного разрешения на коммерческое повторное использование материалов. Изображение не допущено к публикации этим исследованием.
bali-magnum-resort-berawa,bali,Magnum Resort Berawa,Magnum Estate,Magnum Estate,Berawa / Canggu,apartment,1,exact_or_resolved_project_observed,https://magnumestate.com/projects/berawa,FazWaz Group: https://www.fazwaz.id/projects/indonesia/bali/badung/canggu/magnum-resort-berawa,https://magnum-assets.b-cdn.net/assets/img/berawa/1.webp,url_identified_bytes_not_downloaded,Микросайт magnum-residence-berawa.com не считается отдельным агентством: издатель не установлен.
bali-magnum-resort-sanur,bali,Magnum Resort Sanur,Magnum Estate,Magnum Estate,Sanur,apartment; penthouse,1,exact_or_resolved_project_observed,https://magnumestate.com/projects/sanur,Balinsky: https://realting.com/ru/indonesia/new-buildings/35402,https://magnum-assets.b-cdn.net/img/apartments/1.jpg,url_identified_bytes_not_downloaded,
bali-elysium-eco-city,bali,ELYSIUM Eco City,BREIG,BREIG,Pererenan,apartment; villa,1,exact_or_resolved_project_observed,https://breig-property.com/ru/project/elysium-eco-city/,Balinsky: https://realting.com/ru/indonesia/pererenan/new-buildings/apartments,https://breig-property.com/wp-content/uploads/2026/05/elysium_new_exterier.webp,url_identified_bytes_not_downloaded,
bali-edem-ii,bali,EDEM II Santorini Residences,BREIG,BREIG,Nusa Dua,villa,0,developer_confirmed_diversity_addition,https://breig-property.com/ru/project/edem-ii-santorini-residences/,,https://breig-property.com/wp-content/uploads/2026/05/exterior-edem-ii-2_converted.webp,url_identified_bytes_not_downloaded,Диверсифицирующее включение по первичному источнику. Edem Villas в каталоге Nestra не засчитан как EDEM II: совпадение очереди не подтверждено.
bali-secana-beachtown,bali,Secana Beachtown,Mirah Investment & Development,Mirah Investment & Development,Berawa / Canggu,villa; apartment,1,exact_or_resolved_project_observed,https://mirahdevelopments.com/development/secana-beachtown/,Intermark: https://intermark.ru/nedvizhimost-za-rubezhom/indonesia/bali/villas,https://mirahdevelopments.com/app/uploads/2025/02/Secana-jpg.webp,url_identified_bytes_not_downloaded,Наличие действующего комплекса не доказывает текущий остаток объектов для продажи.
bali-somoshotels-uluwatu,bali,SOMOSHOTELS Uluwatu,Mirah Investment & Development,Mirah Investment & Development,Uluwatu / Pecatu,hotel_suite,1,exact_or_resolved_project_observed,https://mirahdevelopments.com/development/somoshotels/,Intermark: https://bali.intermark.global/new,https://mirahdevelopments.com/app/uploads/2025/02/Facade-Somos-jpg.webp,url_identified_bytes_not_downloaded,Гостиничные номера не классифицируются как обычные квартиры. Юридическая форма прав требует отдельной проверки.
bali-ecoverse-residences,bali,Ecoverse Residences,NPG Indonesia,Nuanu / NPG,Nyanyi / район Nuanu,apartment; townhouse,1,exact_or_resolved_project_observed,https://partners.nuanu.realestate/ecoverse-en,EstateWin: https://estatewin-bali.com/ecoverse,,project_gallery_identified_exact_image_pending,"Девелопер NPG Indonesia, не Alex Villas. Близость к Nuanu не является доказательством нахождения внутри его юридических границ."
bali-origins-nuanu,bali,ORIGINS Nuanu,Bali Baza Development,Bali Baza Development,Nuanu / Nyanyi,villa,1,exact_or_resolved_project_observed,https://bali.baza.bz/origins-nuanu,World Estate: https://worldestate.homes/indonesia/bali/origins/,,project_gallery_identified_exact_image_pending,Дополнительный первичный источник девелопера: https://partners.nuanu.realestate/origins-en . Бренд проекта не заменяет проверку стороны сделки.
bali-the-era-by-oxo,bali,The ERA by OXO,OXO,OXO,Uluwatu / Bingin Hills,villa,1,exact_or_resolved_project_observed,https://realestate.oxoliving.com/the-era-by-oxo/the-villa/,REHouse: https://rehouse.ae/ru/project/era,,project_gallery_identified_exact_image_pending,OXO указан как бренд предложения. На сайте также описаны управление и продажи; юридический девелопер и продавец отдельно не верифицированы.
bali-swoi-loft-umalas,bali,SWOI LOFT Umalas,SWOI Development Group,SWOI Development Group,Umalas,townhouse; villa,1,exact_or_resolved_project_observed,https://swoi-development.com/loft,EstateWin: https://estatewin-bali.com/swoiloftumalas | Domik.io: https://domik.io/en/project/swoi-loft-umalas-15262,,project_gallery_identified_exact_image_pending,"Не смешивать с отдельным проектом SWOI Berawa. Domik.io учитывается как портал, а не подтверждённое отдельное агентство."
bali-anta-canggu,bali,ANTA Hotel Bali Canggu,ANTA Group,ANTA Group,Batu Bolong / Canggu,serviced_apartment,2,exact_or_resolved_project_observed,https://www.prnewswire.com/apac/news-releases/radisson-hotel-group-accelerates-growth-in-indonesia-with-anta-hotel-bali-canggu-a-member-of-radisson-individuals-302636834.html,DDA Real Estate: https://www.rumah123.com/properti/badung-canggu/apartemen-level-5-di-pusat-batu-bolong-lokasi-lifestyle-utama-di-canggu-aps7617392/ | FazWaz Group: https://www.fazwaz.id/projects/indonesia/bali/badung/canggu/anta-residence-canggu,,project_gallery_identified_exact_image_pending,Первичный источник — релиз Radisson. Несогласующиеся сроки сдачи из брокерских объявлений не перенесены.
bali-nexa-canggu-studio,bali,NEXA Canggu Studio,NEXA,NEXA,Canggu,apartment,1,exact_or_resolved_project_observed,https://nexauniverse.com/projects/nexa-studio,Nestra Estate: https://ru.nestraestate.com/,,project_gallery_identified_exact_image_pending,В каталоге брокера встречается противоречивая привязка к Bukit; она не перенесена. Спорт/рестораны по партнёрской программе не названы собственной инфраструктурой.
bali-indari-by-balix,bali,INDARI by BALIX,BALIX,BALIX,Ubud,villa; apartment,2,exact_or_resolved_project_observed,https://www.balixdg.com/,Nestra Estate: https://ru.nestraestate.com/ | TOPS.ME: https://indaribybalix.com/ru,,project_gallery_identified_exact_image_pending,"Микросайт indaribybalix.com относится к брокерскому предложению TOPS.ME, а не автоматически к самому девелоперу."
bali-xo-pandawa,bali,XO Pandawa,LOYO & BONDAR,LOYO & BONDAR,Pandawa / Bukit,apartment; villa,1,exact_or_resolved_project_observed,https://loyo-development.com/xopandawaen,ULU Homes: https://ulu-homes.id/projects/xo-project-pandawa/,,project_gallery_identified_exact_image_pending,"Данные о цене, доходности, сроках и конкретных правах владения не переносились."
bali-sunny-aparts-ii,bali,Sunny Aparts II,Sunny Development Group,Sunny Holding,Berawa / Canggu,apartment,0,developer_confirmed_diversity_addition,https://sunnyholding.com/projects/sunny-aparts-2/,,,project_gallery_identified_exact_image_pending,Диверсифицирующее включение по первичным страницам. Дополнительный первичный каталог: https://sunnydg.com/ru/catalog/ . Точный независимый издатель sunny-aparts-2.com не установлен; упоминание бренда Legion не засчитано как наблюдение этого проекта.
