id,country,city,brand,official_domain,contact_page,general_email,general_phone,business_segment,overseas_desk_status,decision_role,first_party_route_url,source_status,owner_review_reason,duplicate_group,outreach_status,checked_at,source_urls
RU-NIGHT-A-011,Russia,Великий Новгород,ГАРАНТ,https://garant53.ru/,https://garant53.ru/,novgorod.info@mail.ru,+7 8162 556-340,regional_full_cycle,unknown,corporate_contact_route,https://garant53.ru/,first_party_current,"Полный цикл и публичный корпоративный канал; сайт заявляет членство в региональной и Российской гильдиях риэлторов.",garant53.ru,not_authorized,2026-09-18,https://garant53.ru/
RU-NIGHT-A-012,Russia,Рязань,Гранд-Н,https://grand-rzn.ru/,https://grand-rzn.ru/contacts/,nedvijimostgrand@yandex.ru,+7 4912 92-99-98,regional_residential,unknown,corporate_contact_route,https://grand-rzn.ru/contacts/,first_party_current,"Действующий официальный сайт и общий корпоративный маршрут.",grand-rzn.ru,not_authorized,2026-09-18,"https://grand-rzn.ru/|https://grand-rzn.ru/contacts/"
RU-NIGHT-A-013,Russia,Владивосток,PREMIER,https://premier-vl.ru/,https://premier-vl.ru/,premier.estate@mail.ru,+7 423 293-64-24,far_east_newbuild_investment_premium,unknown,corporate_contact_route,https://premier-vl.ru/,first_party_current,"Новостройки, инвестиционные и премиальные объекты; релевантный дальневосточный клиентский сегмент.",premier-vl.ru,not_authorized,2026-09-18,https://premier-vl.ru/
RU-NIGHT-A-014,Russia,Псков,Pro Estate,https://proestate60.ru/,https://proestate60.ru/,,+7 8112 616-111,regional_residential,unknown,corporate_contact_route,https://proestate60.ru/,first_party_current,"Региональное агентство с текущим официальным сайтом и общей линией.",proestate60.ru,not_authorized,2026-09-18,https://proestate60.ru/
RU-NIGHT-A-015,Russia,Рязань,Виктори,https://victory62.org/,https://victory62.org/,,,regional_residential,unknown,corporate_contact_route,https://victory62.org/,first_party_current_content_review_hold,"Текущий сайт агентства найден; перед owner-review нужна отдельная проверка качества и редакционной надежности контента.",victory62.org,not_authorized,2026-09-18,https://victory62.org/
RU-NIGHT-A-016,Russia,Красноярск,SEVER ESTATE,https://sever-estate.ru/,https://sever-estate.ru/,,,regional_newbuild_investment,unknown,corporate_contact_route,https://sever-estate.ru/,first_party_current,"Новостройки, инвестиционные объекты и независимая агентская модель.",sever-estate.ru,not_authorized,2026-09-18,https://sever-estate.ru/
RU-NIGHT-A-017,Russia,Омск,Миард,https://miard.ru/,https://miard.ru/,,+7 3812 555-777,regional_large_residential,unknown,corporate_contact_route,https://miard.ru/,first_party_current,"Крупное региональное агентство с многолетней историей и действующим корпоративным сайтом.",miard.ru,not_authorized,2026-09-18,https://miard.ru/
RU-NIGHT-A-018,Russia,Йошкар-Ола,Прогресс,https://progressdom.ru/,https://progressdom.ru/,info@progressdom.ru,+7 8362 55-05-05,regional_full_cycle,unknown,corporate_contact_route,https://progressdom.ru/,first_party_current,"Полный цикл покупки и продажи и юридическое сопровождение через общий корпоративный канал.",progressdom.ru,not_authorized,2026-09-18,https://progressdom.ru/
RU-NIGHT-A-019,Russia,Вологда,Олимп,https://an-olimp.com/,https://an-olimp.com/,,,regional_residential,unknown,corporate_contact_route,https://an-olimp.com/,first_party_current,"Действующее региональное агентство жилой недвижимости.",an-olimp.com,not_authorized,2026-09-18,https://an-olimp.com/
RU-NIGHT-A-020,Russia,Новокузнецк,Эксперт,https://expert-an.com/,https://expert-an.com/,expert.kvartir@gmail.com,+7 906 978-02-70,regional_residential_newbuild,unknown,corporate_contact_route,https://expert-an.com/,first_party_current,"Региональное агентство с новостройками и действующей базой объектов.",expert-an.com,not_authorized,2026-09-18,https://expert-an.com/
RU-NIGHT-A-021,Russia,Новокузнецк,Любимый город,https://lgorod.com/,https://lgorod.com/o-kompanii/,,+7 800 700-70-92,regional_residential_mortgage,unknown,corporate_contact_route,https://lgorod.com/o-kompanii/,first_party_current,"Работает с 2000 года; региональное агентство и ипотечное направление.",lgorod.com,not_authorized,2026-09-18,https://lgorod.com/o-kompanii/
RU-NIGHT-A-022,Russia,Архангельск,Морской слон,https://morskoy-slon.ru/,https://morskoy-slon.ru/,,,regional_full_cycle,unknown,corporate_contact_route,https://morskoy-slon.ru/,first_party_current,"Региональный полный цикл: покупка, продажа, ипотека и сопровождение.",morskoy-slon.ru,not_authorized,2026-09-18,https://morskoy-slon.ru/
RU-NIGHT-A-023,Russia,Омск,Аркада-Стиль,https://arkada-style.ru/,https://arkada-style.ru/,,,regional_full_cycle,unknown,corporate_contact_route,https://arkada-style.ru/,first_party_current,"Полный спектр услуг по жилой, загородной и коммерческой недвижимости.",arkada-style.ru,not_authorized,2026-09-18,https://arkada-style.ru/
RU-NIGHT-A-024,Russia,Омск,Милана-Риэлт,https://realtor-omsk.com/,https://realtor-omsk.com/,,+7 3812 378-678,regional_residential,unknown,corporate_contact_route,https://realtor-omsk.com/,first_party_current,"Действующий официальный сайт регионального агентства.",realtor-omsk.com,not_authorized,2026-09-18,https://realtor-omsk.com/
RU-NIGHT-A-025,Russia,Волгоград,Твои метры,https://tvoimetry.com/,https://tvoimetry.com/,,,regional_residential_investment,unknown,corporate_contact_route,https://tvoimetry.com/,first_party_current,"Региональное агентство с инвестиционной подачей; перед owner-review проверить командный и корпоративный масштаб.",tvoimetry.com,not_authorized,2026-09-18,https://tvoimetry.com/
RU-NIGHT-A-026,Russia,Рязань,Центральное агентство недвижимости,https://961-961.ru/,https://961-961.ru/,,+7 4912 961-961,regional_large_newbuild,unknown,corporate_contact_route,https://961-961.ru/,first_party_current,"Большая региональная база и отдельный тип объектов квартира в новостройке.",961-961.ru,not_authorized,2026-09-18,https://961-961.ru/
RU-NIGHT-A-027,Russia,Красноярск,Квадрат,https://kvadratdom.com/,https://kvadratdom.com/contact,info@kvadratdom.com,+7 391 270-22-99,regional_investment,unknown,corporate_contact_route,https://kvadratdom.com/contact,first_party_current,"Официальный корпоративный контакт и инвестиционная консультационная подача.",kvadratdom.com,not_authorized,2026-09-18,https://kvadratdom.com/contact
RU-NIGHT-A-028,Russia,Красноярск,Фрегат,https://fregat.online/,https://fregat.online/,info@fregat.online,+7 999 44-36-394,regional_full_cycle_newbuild,unknown,corporate_contact_route,https://fregat.online/,first_party_current,"Первичный рынок, вторичка и общий корпоративный канал; независимый региональный игрок.",fregat.online,not_authorized,2026-09-18,https://fregat.online/
RU-NIGHT-A-029,Russia,Мурманск,Good House,https://goodhouse51.ru/,,, +7 8152 75-10-20,regional_residential_international_signal,confirmed_signal_secondary,corporate_route_pending_first_party_recovery,,partial_secondary_confirmed_first_party_unreachable,"Текущие вторичные бизнес-каталоги подтверждают агентство и зарубежный профиль; официальный домен заявлен, но не был получен напрямую в этом слоте.",goodhouse51.ru,not_authorized,2026-09-18,"https://goodhouse51.orgs.biz/|https://murmansk.jsprav.ru/agentstva-nedvizhimosti/good-house/"
