id,country,city,brand,legal_name,official_domain,contact_page,published_general_email,business_segment,overseas_desk_status,source_status,owner_review_reason,duplicate_group,outreach_status,commercial_status,commerciallyEnabled,source_urls,checked_at
by-kvartiry-stolicy,Belarus,Minsk,Квартиры Столицы,ООО «Центр риэлтерских услуг «Квартиры Столицы»,kv-st.by,https://kv-st.by/,office@kv-st.by,real estate services,not_verified,current_first_party_plus_chamber,Strong current first-party corporate route plus Chamber evidence.,by:kv-st.by,not_authorized,research_only,false,https://kv-st.by/;https://www.prrb.by/realtors,2026-09-18
by-prospekt-rielt,Belarus,Novopolotsk,Проспект Риэлт,ОДО «Проспект Риэлт»,prospekt-rielt.by,https://prospekt-rielt.by/,,real estate agency,unknown,current_chamber_plus_directory_official_route,Regional Novopolotsk coverage; direct official-site retrieval should be closed.,by:prospekt-rielt.by,not_authorized,research_only,false,https://www.prrb.by/realtors;https://yandex.by/maps/org/prospekt_rielt/1026137756/,2026-09-18
by-metrazhi,Belarus,Mogilev,Агентство недвижимости МЕТРАЖИ,ООО «Агентство недвижимости МЕТРАЖИ»,,,, ,real estate agency,unknown,current_chamber_plus_current_marketplace,Current Chamber marketplace and hiring evidence; useful Mogilev coverage.,by:metrazhi,not_authorized,research_only,false,https://www.prrb.by/realtors;https://re.kufar.by/vi/mogilev/kupit/dom/1073623733;https://joblab.by/vacancy/585998,2026-09-18
by-variant,Belarus,,Агентство недвижимости ВАРИАНТ,ООО «Агентство недвижимости ВАРИАНТ»,variant-zvd.pro,https://www.variant-zvd.pro/,,real estate agency,unknown,current_chamber_plus_candidate_site_match_medium,Current Chamber evidence; site/entity match requires closure before use.,by:variant,not_authorized,research_only,false,https://www.prrb.by/realtors;https://www.variant-zvd.pro/,2026-09-18
by-garant-uspeha,Belarus,Brest,Гарант успеха,ЧУП «Гарант успеха»,garantus.by,https://garantus.by/,,real estate agency,not_verified,current_first_party_plus_chamber,Current first-party route and Chamber evidence; useful Brest coverage.,by:garantus.by,not_authorized,research_only,false,https://garantus.by/;https://www.prrb.by/realtors,2026-09-18
by-iq-property-group,Belarus,Minsk,Ай Кью Проперти Групп,ООО «Ай Кью Проперти Групп»,,,, ,commercial / professional real estate signal,unknown,current_chamber_only,Current professional-market evidence and differentiated commercial-property signal; corporate route missing.,by:iq-property-group,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-pirmas,Belarus,,Пирмас,ООО «Пирмас»,,,, ,real estate agency,unknown,current_chamber_only,Current professional-market evidence; city and corporate route require closure.,by:pirmas,not_authorized,research_only,false,https://www.prrb.by/realtors,2026-09-18
by-uyut-i-k,Belarus,Vitebsk,Агентство Уют и К,ООО «Агентство Уют и К»,n-v.by,https://n-v.by/,agentstvo.yutik@yandex.by,"residential, commercial and transaction-support services",not_verified,current_first_party,Current 2026 first-party activity and Vitebsk regional coverage.,by:n-v.by,not_authorized,research_only,false,https://n-v.by/,2026-09-18
by-zolotoy-klyuch,Belarus,,Агентство Золотой ключ,ООО «Агентство «Золотой ключ»,g-k.by,https://g-k.by/,info@g-k.by,"residential, country, commercial, primary and secondary real estate",not_verified,current_first_party,First-party corporate/legal information and broad service mix; city still needs normalization.,by:g-k.by,not_authorized,research_only,false,https://g-k.by/,2026-09-18
by-alef-life,Belarus,Minsk / Zhodino,Алеф Лайф,ООО «Алеф Лайф»,alef.by,https://zhodino.alef.by/,an_aleflife@mail.ru,"new builds, resale, houses, commercial and rental real estate",not_verified,current_first_party,Current first-party corporate route with new-build and regional coverage.,by:alef.by,not_authorized,research_only,false,https://zhodino.alef.by/;https://alef.by/,2026-09-18
by-pakodan-estate,Belarus,Grodno,ПАКОДАН ЭСТЕЙТ,ООО «Агентство недвижимости ПАКОДАН ЭСТЕЙТ»,pakodangrodno.by,https://pakodangrodno.by/,,real estate agency,self_described_international_brand_not_a_verified_foreign_desk,current_first_party,Grodno regional coverage and international-brand positioning; no foreign agency program inferred.,by:pakodangrodno.by,not_authorized,research_only,false,https://pakodangrodno.by/,2026-09-18
by-realtelite,Belarus,Grodno / Grodno region,RealtElite,,realtelite.by,https://realtelite.by/,,residential and commercial sales/rental with legal support,not_verified,current_first_party_legal_entity_not_closed,Current first-party regional source; legal entity/licensing metadata requires closure.,by:realtelite.by,not_authorized,research_only,false,https://realtelite.by/,2026-09-18
