company,city,primary_segment,secondary_signal,pitch_mode,readiness,evidence_note
Монолит,Нижний Новгород,regional_large,strong_b2b_general_route,open_international_direction,strong_b2b_general_route,"Partner cooperation language and regional scale; named decision maker pending."
Аском,Владивосток,far_east_regional,sales_leadership_route,asia_market_direction,strong_regional_route,"Far East geography + direct sales leadership; central partnership owner pending."
Петербургская Недвижимость,Санкт-Петербург,newbuild_large,strong_general_route,enterprise_supply_pitch,strong_general_route,"Strong new-build distribution brand; named partnership owner pending."
НДВ,Москва,newbuild_large,strong_general_route,enterprise_supply_pitch,strong_general_route,"Large new-build sales operation; partnership owner and foreign status pending."
Point Estate,Москва,premium_investment,strong_general_route,premium_phuket_direction,strong_general_route,"Premium/investment audience; owner/commercial partnership contact pending."
АЯКС,Краснодар,network_platform,large_south_network,hq_supply_partnership,strong_network_route,"Large network; HQ-level route required, no branch outreach."
Поместье,Иркутск,far_east_regional,newbuild_signal,asia_market_direction,strong_regional_route,"Eastern geography and new-build signal; named decision maker pending."
Адресат,Волгоград,regional_general,regional_pilot_signal,open_international_direction,regional_pilot_route,"Priority non-capital test market; owner/commercial route pending."
Вершина,Владивосток,far_east_regional,named_route_role_unconfirmed,qualification_first,named_route_role_unconfirmed,"Direct named public contact but authority not confirmed."
Высоцкий Эстейт,Хабаровск,network_platform,regional_office_route,hq_supply_partnership,regional_office_route,"Network/regional office route; central partnership owner and local autonomy pending."
ЖИЛФОНД,Новосибирск,network_platform,large_office_network,hq_supply_partnership,network_central_owner_needed,"Central owner required; branches must not be treated as separate companies."
СТАН,Уфа,hold_entity_resolution,named_director,hold,hold_entity_resolution,"Named director exists but canonical domain/identity conflict unresolved."
Живем дома,Волгоград,hold_entity_resolution,named_ceo,hold,hold_entity_resolution,"CEO signal exists but canonical domain mismatch unresolved."
Новосёл,Екатеринбург,hold_entity_resolution,named_ceo_and_partner_signal,hold,hold_entity_resolution,"Strong CEO/partner route but old-vs-current domain must be resolved before outreach."
Диал,Екатеринбург,existing_foreign_property_desk,named_foreign_property_director,upgrade_existing_foreign_desk,ready_for_owner_review,"Dedicated foreign-property director; existing partner-mediated overseas model."
Дон-МТ-Недвижимость,Ростов-на-Дону,newbuild_regional,strong_developer_partnership_signal,network_overseas_direction,strong_b2b_general_route,"11-office/new-build/developer-partner signal; named partnership owner pending."
Самолет Плюс,Москва / федеральная сеть,network_platform,formal_partner_franchise_network,hq_supply_partnership,network_level_partner_route_verified,"Strategic HQ account; do not approach branches separately."
БЕСТ-Недвижимость,Москва,regional_large,central_office_network,enterprise_supply_pitch,public_contact_verified,"Active office network; MIRA-relevant named decision maker pending."
Титул,Ростов-на-Дону,newbuild_regional,named_sales_head,open_international_direction,named_sales_role_verified,"Named head of sales + dedicated new-build sales center; supply authority requires qualification."
ГиперДОМ,Казань,newbuild_regional,developer_partner_signal,open_international_direction,strong_newbuild_general_route,"Official developer-partner/new-build positioning; named owner pending."
CentRoom,Казань,segment_pending_fit,general_sales_route,qualification_first,public_contact_verified,"Current sales route verified; named head/owner and specialization need qualification."
РиэлтКонсалт,Омск,newbuild_regional,partner_page_signal,open_international_direction,public_contact_verified,"Active company/new-build section + partner-page signal; named decision maker pending."
На ЮГ,Краснодар,resort_regional,resort_investment_hypothesis,open_international_direction,public_contact_verified,"Active Krasnodar route; foreign-property status and decision maker pending."
Городской Риэлторский Центр,Сочи,resort_regional,named_partner_development_leadership,resort_to_phuket_expansion,ready_for_owner_review,"Official named partner/development route + CEO."
Вектор-Недвижимость,Ярославль,regional_large,central_owner_legal_signal,open_international_direction,public_company_route_verified,"Active multi-city company/new-build route; current business-development owner pending."
Панорама недвижимости,Тюмень,existing_foreign_property_desk,turkey_direction,upgrade_existing_foreign_desk,fit_check_then_owner_review,"Official current site includes foreign property in Turkey."
Рост Недвижимость,Сочи,resort_regional,partner_navigation_and_sales_route,resort_to_phuket_expansion,strong_b2b_general_route,"Official partner navigation, new-build inventory and sales operation; named partnership owner pending."
Центр недвижимости,Тюмень,newbuild_regional,named_leadership_and_developer_partners,open_international_direction,ready_for_owner_review,"Named leadership route + developer partners/new-build layer."
Центр недвижимости Ракурс,Пермь,newbuild_regional,newbuild_and_agency_rules_signal,open_international_direction,strong_newbuild_general_route,"Extensive new-build inventory + agency-rules route; named owner pending."
Квартирант Плюс,Владивосток,existing_phuket_direction,named_ceo_and_sales_leadership,upgrade_existing_foreign_desk,ready_for_owner_review,"Official current site explicitly sells Phuket property and publishes CEO/sales/executive leadership."
СОТА,Воронеж,newbuild_regional,developer_cooperation_and_training_center,open_international_direction,strong_regional_newbuild_signal,"Official site states cooperation with city developers, 9 offices and own training center; B2B owner pending."
Новый адрес,Воронеж,hold_entity_resolution,stale_first_party_plus_current_market_presence,hold,hold_entity_resolution,"Current market presence exists but first-party/canonical entity continuity is not clean enough."
Доверие,Омск,hold_first_party_verification,current_secondary_presence,hold,hold_first_party_contact_verification,"Current active legal/team signal exists via marketplace; official domain not retrievable in current pass."
РИО-ЛЮКС,Самара,hold_first_party_verification,current_secondary_presence,hold,hold_first_party_contact_verification,"Current marketplace presence exists; official first-party route was not retrievable in current pass."
