agency_id,country,company,city,website,domain,segment,message_hypothesis,cta,status,source,checked_at,email_from_source,phone_from_source,opt_out,next_action,notes
agency-molnar-by,Беларусь,Мольнар,Минск/Беларусь,https://molnar.by/,molnar.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://molnar.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-marielt-by,Беларусь,Агентство недвижимости Мариэлт,Минск,https://marielt.by/,marielt.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://marielt.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-fattoria-by,Беларусь,АН Фаттория,Минск,https://fattoria.by/,fattoria.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://fattoria.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-www-asrealt-by,Беларусь,AS Недвижимость,Минск,https://www.asrealt.by/,www.asrealt.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://www.asrealt.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-alkor-realty-by,Беларусь,Алькор Эстейт,Минск,https://alkor-realty.by/,alkor-realty.by,C,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://alkor-realty.by/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-wtgroup-international,Казахстан,WT Group,Алматы/Астана,https://wtgroup.international/,wtgroup.international,A,H1: расширение международного ассортимента под брендом агентства; клиент остаётся у агентства,Предложить 15-минутный созвон или прислать стартовый каталог Пхукета,queued,https://wtgroup.international/about,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-gec-kz,Казахстан,Grand Estate Company,Алматы,https://gec.kz/,gec.kz,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://gec.kz/o-nas/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-rialight-kz,Казахстан,Ria Light,Алматы,https://rialight.kz/,rialight.kz,A,H1: расширение международного ассортимента под брендом агентства; клиент остаётся у агентства,Предложить 15-минутный созвон или прислать стартовый каталог Пхукета,queued,https://rialight.kz/about/,2026-09-15,info@rialight.kz,+7 (707) 044-09-49,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-hayatestate-com,Казахстан,Hayat Estate Kazakhstan,Алматы,https://hayatestate.com/my-v-almaty,hayatestate.com,A,H1: расширение международного ассортимента под брендом агентства; клиент остаётся у агентства,Предложить 15-минутный созвон или прислать стартовый каталог Пхукета,queued,https://hayatestate.com/my-v-almaty,2026-09-15,Unknown,+7 747 362-87-37,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-almaty-etagi-com,Казахстан,Этажи (Алматы),Алматы,https://almaty.etagi.com/,almaty.etagi.com,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://almaty.etagi.com/,2026-09-15,Unknown,Unknown,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-www-real-estate-am,Армения,Kentron,Ереван,https://www.real-estate.am/ru,www.real-estate.am,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://www.real-estate.am/ru,2026-09-15,kentron@real-estate.am,+374 55 404090,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
agency-besthouse-am,Армения,Best House,Ереван,https://besthouse.am/,besthouse.am,B,H2: добавить Пхукет в ассортимент без самостоятельного построения международной инфраструктуры,"Спросить, есть ли текущий запрос на Таиланд/зарубежную недвижимость; предложить каталог",queued,https://besthouse.am/,2026-09-15,info@besthouse.am,+374 91 90-30-94,not_contacted,Проверить контактный канал и персонализировать первую строку; затем отправлять только после отдельного разрешения,"Контактные поля скопированы только из verified pilot row; международная специализация не подтверждена, если это указано в исходной строке."
