agency_id,rank,company,city,website,segment,segmentation_basis,inherited_segment,overseas_status,greenfield_confirmed,pitch_mode,live_reviewed,review_join,decision_route_signal,readiness,owner_review_wave,send_status,source_url,source_checked_at,review_source_path,evidence_note,next_action
RU-A-3809cc97d045,14,Центральное агентство недвижимости,Новосибирск,https://centralnoe.ru,regional_new_build_candidate,source_cohort_signal_only,,unknown,false,new_build_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://centralnoe.ru,2026-09-15,,Strong regional new-build/residential agency,Find direct commercial/owner contact
RU-A-d03fc5552472,15,Грановит,Новосибирск,https://www.granovit.ru,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_owner,ready_for_owner_review,true,not_approved,https://www.granovit.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Director-level route + developer/bank/agent partnership evidence; foreign-property status still needs confirmation.,Final check for current foreign-property activity; personalize to director.
RU-A-63e76aea06f1,16,Владис,Нижний Новгород,https://vladis.ru/nizhny-novgorod,network_franchise_platform_candidate,source_cohort_signal_only,,unknown,false,hq_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://vladis.ru/nizhny-novgorod,2026-09-15,,Large network presence in major regional market,Resolve central vs regional partnership decision maker
RU-A-0c3796711582,17,Монолит,Нижний Новгород,https://monolit-nn.ru,hold_segment_fit,inherited_live_review,regional_large,unknown,false,qualification_first,true,company_city,strong_b2b_general_route,strong_b2b_general_route,false,not_approved,https://monolit-nn.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Partner cooperation language and regional scale; named decision maker pending.,Find commercial/partnership contact
RU-A-42c99a809585,18,Визит,Самара,https://www.vzt.ru,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_newbuild_head,ready_for_owner_review,true,not_approved,https://www.vzt.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Named head of new-builds with direct email/extension.,Confirm role still current; personalize around adding Phuket to new-build desk.
RU-A-743e45f966ce,19,Рио-Люкс,Самара,https://rio-lux.ru,hold_first_party_verification,inherited_live_review,hold_first_party_verification,unknown,false,qualification_first,true,company_city,current_secondary_presence,hold_first_party_contact_verification,false,not_approved,https://rio-lux.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Current marketplace presence exists; official first-party route was not retrievable in current pass.,Find decision maker and overseas-property status
RU-A-1ac938703194,20,АЯКС,Краснодар,https://www.ayax.ru,network_franchise_platform,inherited_live_review,network_platform,unknown,false,hq_network_pilot,true,company_city,large_south_network,strong_network_route,false,not_approved,https://www.ayax.ru,2026-09-15,sales/russia-live-50-segmentation.csv,"Large network; HQ-level route required, no branch outreach.",Find central partnership owner and Phuket demand signal
RU-A-c61a631baad3,21,Городской риэлторский центр,Сочи,https://grc-sochi.ru,resort_agency,inherited_live_review,resort_regional,unknown,false,resort_comparison_fit,true,company_city,named_partner_development_leadership,ready_for_owner_review,false,not_approved,https://grc-sochi.ru,2026-09-15,sales/russia-live-50-segmentation.csv,Official named partner/development route + CEO.,Find owner/commercial contact
RU-A-a0f41dee1c43,22,Рост Недвижимость,Сочи,https://rost-sochi.ru,resort_agency,inherited_live_review,resort_regional,unknown,false,resort_comparison_fit,true,company_city,partner_navigation_and_sales_route,strong_b2b_general_route,false,not_approved,https://rost-sochi.ru,2026-09-15,sales/russia-live-50-segmentation.csv,"Official partner navigation, new-build inventory and sales operation; named partnership owner pending.",Find owner/partnership contact
RU-A-2c2703003bf3,23,Дон-МТ,Ростов-на-Дону,https://donmt.ru,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://donmt.ru,2026-09-15,,Established regional agency in large southern market,Find commercial owner and international interest
RU-A-a7617c6d4a52,24,Региональный центр недвижимости,Иркутск,https://rcn38.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://rcn38.ru/,2026-09-15,,Regional diversification target in Eastern Russia,Find owner/commercial contact
RU-A-bb2974123b23,25,Панорама недвижимости,Тюмень,https://www.ndv72.ru/,existing_foreign_property_desk,inherited_live_review,existing_foreign_property_desk,foreign_desk_signal_evidenced,false,extend_existing_foreign_desk,true,company_city,turkey_direction,fit_check_then_owner_review,false,not_approved,https://www.ndv72.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Official current site includes foreign property in Turkey.,Find direct commercial contact
RU-A-444cfe8c6a2f,26,СОТА,Воронеж,https://www.snsota.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,developer_cooperation_and_training_center,strong_regional_newbuild_signal,false,not_approved,https://www.snsota.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,"Official site states cooperation with city developers, 9 offices and own training center; B2B owner pending.",Find owner/partnership contact
RU-A-d152f8424f26,27,Вектор-Недвижимость,Ярославль,https://vektor.life/,hold_segment_fit,inherited_live_review,regional_large,unknown,false,qualification_first,true,company_city,central_owner_legal_signal,public_company_route_verified,false,not_approved,https://vektor.life/,2026-09-15,sales/russia-live-50-segmentation.csv,Active multi-city company/new-build route; current business-development owner pending.,Find commercial decision maker
RU-A-c7a421e8963e,28,Высоцкий Эстейт,Хабаровск,https://vysotsky.estate/,network_franchise_platform,inherited_live_review,network_platform,unknown,false,hq_network_pilot,true,company_city,regional_office_route,regional_office_route,false,not_approved,https://vysotsky.estate/,2026-09-15,sales/russia-live-50-segmentation.csv,Network/regional office route; central partnership owner and local autonomy pending.,Find owner/partnership contact and overseas activity
RU-A-539b310b4356,29,Проспект-Недвижимость,Барнаул,https://prospekt-nedvizhimost.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://prospekt-nedvizhimost.ru/,2026-09-15,,Regional agency outside saturated capital markets,Find direct commercial contact
RU-A-f2da8a28ca52,30,Новый дом,Уфа,https://newhouseufa.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://newhouseufa.ru/,2026-09-15,,Regional agency in major city; suitable for international-direction proposition,Find owner/commercial contact
RU-A-494ebb7ff855,31,Аркада,Уфа,https://arkada-realty.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://arkada-realty.ru/,2026-09-15,,Established local brand; regional pilot fit,Find owner/partnership contact
RU-A-8d9163f144fd,32,Счастливый адрес,Екатеринбург,https://schastliviyadres.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://schastliviyadres.ru/,2026-09-15,,Local agency candidate for new overseas vertical,Find decision maker and client/investment profile
RU-A-6c3a7d8c696c,33,Корифей,Екатеринбург,https://korifei.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://korifei.ru/,2026-09-15,,Regional agency candidate in large city,Find direct commercial contact
RU-A-efc31c40c428,34,Ключ,Казань,https://an-klyuch.ru/,premium_investment_candidate,source_cohort_signal_only,,unknown,false,investment_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://an-klyuch.ru/,2026-09-15,,Kazan regional agency with potentially strong investment audience,Find owner/commercial contact
RU-A-b526159442fc,35,Премьер,Казань,https://premier-realty.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://premier-realty.ru/,2026-09-15,,Regional agency candidate for overseas extension,Find direct partnership contact
RU-A-6e1974a8b1cd,36,РиэлтКонсалт,Омск,https://rieltconsult.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,partner_page_signal,public_contact_verified,false,not_approved,https://rieltconsult.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Active company/new-build section + partner-page signal; named decision maker pending.,Verify active commercial contact and foreign-property appetite
RU-A-b4e57b295244,37,Диал,Екатеринбург,https://dial93.ru/,existing_foreign_property_desk,inherited_live_review,existing_foreign_property_desk,foreign_desk_signal_evidenced,false,extend_existing_foreign_desk,true,company_city,named_foreign_property_director,ready_for_owner_review,true,not_approved,https://dial93.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Dedicated foreign-property director; existing partner-mediated overseas model.,Do NOT use greenfield pitch. Compare current partner model with MIRA supply/registration/commission layer and prepare tailored proposal.
RU-A-3266af5bca8e,38,Титул,Ростов-на-Дону,https://realtitul.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_sales_head,named_sales_role_verified,true,not_approved,https://realtitul.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named head of sales + dedicated new-build sales center; supply authority requires qualification.,Confirm whether this role covers new-build/supply decisions and whether overseas direction already exists.
RU-A-7a00f962f3c2,39,Новая жизнь,Самара,https://www.nlre.ru/,regional_new_build_candidate,source_cohort_signal_only,,unknown,false,new_build_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://www.nlre.ru/,2026-09-15,,Public email and regional new-build/residential signal,Verify owner/commercial contact
RU-A-237a09b2ff49,40,ГиперДОМ,Казань,https://www.giperdom.net/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,developer_partner_signal,strong_newbuild_general_route,false,not_approved,https://www.giperdom.net/,2026-09-15,sales/russia-live-50-segmentation.csv,Official developer-partner/new-build positioning; named owner pending.,Verify decision maker and international direction interest
RU-A-e03f51c04249,41,CentRoom,Казань,https://centroom.ru/,hold_segment_fit,inherited_live_review,segment_pending_fit,unknown,false,qualification_first,true,company_city,general_sales_route,public_contact_verified,false,not_approved,https://centroom.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Current sales route verified; named head/owner and specialization need qualification.,Verify B2B/owner contact
RU-A-b30f6438c8e2,42,ЧФК недвижимость,Краснодар,https://bsfc.com/,premium_investment_candidate,source_cohort_signal_only,,unknown,false,investment_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://bsfc.com/,2026-09-15,,Public email; South Russia investment audience,Verify real-estate agency entity and partnership owner
RU-A-33f54cd2630e,43,На ЮГ,Краснодар,https://www.nayug24.ru/,resort_agency,inherited_live_review,resort_regional,unknown,false,resort_comparison_fit,true,company_city,resort_investment_hypothesis,public_contact_verified,false,not_approved,https://www.nayug24.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Active Krasnodar route; foreign-property status and decision maker pending.,Verify owner/commercial contact and overseas demand
RU-A-cd875194c2c9,44,Континент,Ростов-на-Дону,https://continent-realty.com/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://continent-realty.com/,2026-09-15,,Public email and major southern city coverage,Verify owner/partnership contact
RU-A-b3f013504a52,45,Альмерия,Ростов-на-Дону,https://almeriy.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://almeriy.ru/,2026-09-15,,Public email; regional launch candidate,Verify commercial owner and investment focus
RU-A-e1c8a06773b2,46,Золотой ключик,Нижний Новгород,https://goldkeynn.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://goldkeynn.ru/,2026-09-15,,Public contact and large regional market,Verify current owner/commercial role and overseas interest
RU-A-8288b19d2aed,47,Антей,Нижний Новгород,https://anteinn.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://anteinn.ru/,2026-09-15,,Public email; additional regional pilot target,Verify activity and decision maker
RU-A-0048d30d5e2b,48,Донских Недвижимость,Нижний Новгород,https://donreal.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://donreal.ru/,2026-09-15,,Public email; likely owner-linked contact signal,Verify contact role and agency activity
RU-A-289c050f745e,49,Твой дом,Пермь,https://tvoydom59.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://tvoydom59.ru/kompanija/,2026-09-15,,Public email and regional agency profile,Verify owner/commercial contact
RU-A-4f2ac8e675bc,50,Риэлт Сервис Омск,Омск,https://omskrs.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://omskrs.ru/,2026-09-15,,Public email and regional agency profile,Verify owner/commercial contact and international-property appetite
RU-A-4252c4f42f3e,51,Бюро недвижимости №1,Екатеринбург,https://bn1.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://bn1.ru/,2026-09-15,,Regional agency in a major million-plus city,Find owner/commercial contact and investment/new-build signal
RU-A-37f72bc894f6,52,Дом Недвижимости,Екатеринбург,https://www.domnedv.ru/,hold_segment_fit,inherited_live_review,segment_pending_fit,unknown,false,qualification_first,true,company_city,named_management,ready_for_owner_review,false,not_approved,https://www.domnedv.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named deputy director direct route; actual ownership of new supply / overseas direction needs qualification.,Verify current commercial/owner contact and overseas-property interest
RU-A-0a4d1de4398c,53,БК_Недвижимость,Екатеринбург,https://bk-n.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://bk-n.ru/,2026-09-15,,Independent regional brokerage candidate,Find decision maker and new-build/investment profile
RU-A-4302465f5ba7,54,Города,Новосибирск,https://goroda.pro/,network_franchise_platform,inherited_live_review,network_platform,unknown,false,hq_network_pilot,true,company_city,founder_signal,fit_check_then_owner_review,false,not_approved,https://goroda.pro/,2026-09-15,sales/russia-live-50-segmentation.csv,Founder / federal-system signal; needs network-level partnership owner.,Find owner/partnership contact
RU-A-abeb2d7d1f05,55,Агентство недвижимости «Большой город»,Новосибирск,https://bigcity-nsk.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://bigcity-nsk.ru/,2026-09-15,,Independent regional agency in large Siberian market,Find commercial decision maker and overseas-property signal
RU-A-86044881b134,56,Мегаполис,Самара,https://megapolis-samara.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://megapolis-samara.ru/,2026-09-15,,Regional agency suitable for international-direction proposition,Find owner/commercial contact
RU-A-dcce47dda803,57,Квартирный вопрос,Самара,https://kvartirny-vopros.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://kvartirny-vopros.ru/,2026-09-15,,Independent Samara agency with local client base,Find direct decision maker
RU-A-bf36fb6b69f4,58,Новый Ростов,Ростов-на-Дону,https://newrostov.ru/,premium_investment_candidate,source_cohort_signal_only,,unknown,false,investment_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://newrostov.ru/,2026-09-15,,South Russia market with relevant investment audience,Find partnership/commercial owner
RU-A-07f24cffb8d1,59,Атлас мира недвижимости,Ростов-на-Дону,https://atlas-rnd.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://atlas-rnd.ru/,2026-09-15,,Regional agency in major southern city,Find owner/commercial contact and international direction interest
RU-A-b9ac3732b42c,60,Красава,Краснодар,https://krasava-realty.ru/,premium_investment_candidate,source_cohort_signal_only,,unknown,false,investment_fit_qualification,false,unmatched,,not_live_reviewed,false,not_approved,https://krasava-realty.ru/,2026-09-15,,Krasnodar resort/investment audience fit,Find decision maker and new-build profile
RU-A-32ee13f2ffcd,61,Аском,Владивосток,https://askom.io/,hold_segment_fit,inherited_live_review,far_east_regional,unknown,false,qualification_first,true,company_city,sales_leadership_route,strong_regional_route,false,not_approved,https://askom.io/,2026-09-15,sales/russia-live-50-segmentation.csv,Far East geography + direct sales leadership; central partnership owner pending.,Find owner/partnership contact and overseas-property activity
RU-A-07b223eee30f,62,Квартирант Плюс,Владивосток,https://kvartirant.plus/,existing_phuket_direction,inherited_live_review,existing_phuket_direction,thailand_signal_evidenced,false,complement_existing_phuket_desk,true,company_city,named_ceo_and_sales_leadership,ready_for_owner_review,false,not_approved,https://kvartirant.plus/,2026-09-15,sales/russia-live-50-segmentation.csv,Official current site explicitly sells Phuket property and publishes CEO/sales/executive leadership.,Find commercial decision maker
RU-A-3c5b3bb2f056,63,Вершина,Владивосток,https://vershina-dv.ru/,hold_segment_fit,inherited_live_review,far_east_regional,unknown,false,qualification_first,true,company_city,named_route_role_unconfirmed,named_route_role_unconfirmed,false,not_approved,https://vershina-dv.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Direct named public contact but authority not confirmed.,Verify owner contact and investment/new-build activity
RU-A-2569e1ed85ca,64,АРЕВЕРА-Недвижимость,Красноярск,https://arevera.ru/,hold_segment_fit,inherited_live_review,regional_large,unknown,false,qualification_first,true,company_city,named_executive,fit_check_then_owner_review,false,not_approved,https://arevera.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named executive signal and established regional scale.,Find owner/commercial contact and overseas interest
RU-A-8ec9bc73a06f,65,ГРАНТА-недвижимость,Красноярск,https://www.granta24.ru/,hold_segment_fit,inherited_live_review,segment_pending_fit,unknown,false,qualification_first,true,company_city,named_department_head,fit_check_then_owner_review,false,not_approved,https://www.granta24.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Direct senior commercial-property contact; new-build/partnership owner still pending.,Find partnership decision maker
RU-A-8bd8a2cb4562,66,Центр недвижимости Ракурс,Пермь,https://an-rakurs.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,newbuild_and_agency_rules_signal,strong_newbuild_general_route,false,not_approved,https://an-rakurs.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Extensive new-build inventory + agency-rules route; named owner pending.,Find owner/commercial contact
RU-A-9674420476d8,67,Новые Дома,Пермь,https://noviedoma24.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_owner,ready_for_owner_review,true,not_approved,https://noviedoma24.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Owner-level route and explicit new-build positioning.,Check current foreign-property evidence; prepare owner-level concise draft.
RU-A-5f83a33e27eb,68,АН GOOD,Пермь,https://an-good.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://an-good.ru/,2026-09-15,,Independent agency in major regional market,Find decision maker and sales specialization
RU-A-38dad368c4d5,69,ЛЕДОН,Омск,https://ledon.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_ceo,ready_for_owner_review,true,not_approved,https://ledon.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,CEO route + active new-build signal.,Confirm no existing foreign desk; personalize around existing new-build client base.
RU-A-0e6139c38866,70,АВЕСТА,Омск,https://avestaomsk.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://avestaomsk.ru/,2026-09-15,,Regional agency with broad residential market presence,Find partnership owner
RU-A-0be18904cf45,71,Квартсервис,Омск,https://kvartservice.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_ceo_and_commercial_director,ready_for_owner_review,true,not_approved,https://kvartservice.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named CEO/cofounder and commercial director.,Use commercial director as primary route if role remains current; qualify new-supply ownership.
RU-A-d7c20f33b65c,72,Доверие,Омск,https://www.doverie-omsk.ru/,hold_first_party_verification,inherited_live_review,hold_first_party_verification,unknown,false,qualification_first,true,company_city,current_secondary_presence,hold_first_party_contact_verification,false,not_approved,https://www.doverie-omsk.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Current active legal/team signal exists via marketplace; official domain not retrievable in current pass.,Find owner/commercial contact
RU-A-0dbe28bd6475,73,СТАН,Уфа,https://stan-ufa.ru/,hold_entity_resolution,inherited_live_review,hold_entity_resolution,unknown,false,qualification_first,true,company_city,named_director,hold_entity_resolution,false,not_approved,https://stan-ufa.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named director exists but canonical domain/identity conflict unresolved.,Find partnership decision maker
RU-A-accadf5e0348,74,Адресат,Волгоград,https://adresat.pro/,hold_segment_fit,inherited_live_review,regional_general,unknown,false,qualification_first,true,company_city,regional_pilot_signal,regional_pilot_route,false,not_approved,https://adresat.pro/,2026-09-15,sales/russia-live-50-segmentation.csv,Priority non-capital test market; owner/commercial route pending.,Find owner/commercial contact and client-base signal
RU-A-73f90d9edc1e,75,Живем дома,Волгоград,https://jivem-doma.ru/,hold_entity_resolution,inherited_live_review,hold_entity_resolution,unknown,false,qualification_first,true,company_city,named_ceo,hold_entity_resolution,false,not_approved,https://jivem-doma.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,CEO signal exists but canonical domain mismatch unresolved.,Find owner/partnership contact
RU-A-0078bdff6edc,76,Новый адрес,Воронеж,https://www.nov-adres.ru/,hold_entity_resolution,inherited_live_review,hold_entity_resolution,unknown,false,qualification_first,true,company_city,stale_first_party_plus_current_market_presence,hold_entity_resolution,false,not_approved,https://www.nov-adres.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Current market presence exists but first-party/canonical entity continuity is not clean enough.,Find commercial owner and new-build activity
RU-A-f4628c74a7e8,77,Крайнов,Воронеж,https://krainov-vrn.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://krainov-vrn.ru/,2026-09-15,,Independent regional brokerage candidate,Find owner/contact and specialization
RU-A-d373db3fe4d2,78,РСС,Воронеж,https://rss-rielt.ru/,hold_first_party_review,source_cohort_signal_only,,unknown,false,qualification_first,false,unmatched,,not_live_reviewed,false,not_approved,https://rss-rielt.ru/,2026-09-15,,Additional Voronezh agency for diversified launch cohort,Find direct commercial contact
RU-A-842cad72e9cb,79,Орбита 72,Тюмень,https://orbita72.com/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_commercial_leadership,ready_for_owner_review,true,not_approved,https://orbita72.com/,2026-09-15,sales/russia-live-50-segmentation.csv,Commercial director + new-build partner signal.,Choose one primary recipient after final role check; emphasize existing new-build workflow.
RU-A-0a4b7d7094c1,80,Центр недвижимости,Тюмень,https://newflat72.ru/,regional_new_build,inherited_live_review,newbuild_regional,unknown,false,new_build_extension_fit,true,company_city,named_leadership_and_developer_partners,ready_for_owner_review,false,not_approved,https://newflat72.ru/,2026-09-15,sales/russia-live-50-segmentation.csv,Named leadership route + developer partners/new-build layer.,Find commercial decision maker
